,ID,AUTHOR,URL,DATE,LIKES,SHARES,COMMENTS,CONTENT,SERVICE,SENTIMENT,ENGAGEMENT
0,3814182872128171,http://www.facebook.com/1441803576032791,http://www.facebook.com/1441803576032791_3814182872128171,06/03/2420 20:28,315.0,36.0,133.0,"Fãs da cantora norte-americana Madonna estão especulando um show gratuito da artista na praia de Copacabana, no dia 4 de maio. O evento, em tese, seria realizado em parceria com o Itaú, em celebração aos seus 100 anos. A artista já aparece em peças publicitárias do banco brasileiro. Após a ...",facebook,POSITIVE,0.0
1,812917400865088,http://www.facebook.com/277742121499,http://www.facebook.com/277742121499_812917400865088,06/03/2420 20:00,164.0,12.0,62.0,Notícia agitou os fãs da Rainha do Pop,facebook,POSITIVE,0.0
2,817956110373011,http://www.facebook.com/233333650017022,http://www.facebook.com/233333650017022_817956110373011,06/03/2420 21:37,205.0,5.0,18.0,Gente! Show da Madonna com entrada franca? Saiba mais sobre o suposto evento: 👇,facebook,POSITIVE,0.0
3,807080388127039,http://www.facebook.com/143813098922,http://www.facebook.com/143813098922_807080388127039,07/03/2420 00:16,102.0,15.0,62.0,Madonna deve fazer em maio show gratuito na praia de Copacabana,facebook,POSITIVE,0.0
4,799750825512798,http://www.facebook.com/279854054779,http://www.facebook.com/279854054779_799750825512798,06/03/2420 15:05,92.0,19.0,50.0,"🎙️Fãs de Madonna entram em delírio com possível show na Praia de Copacabana🎙️
Evento está sendo cogitado para o dia 04/05 e teria entrada gratuita; cantora não se apresenta no Brasil há 10 anos
",facebook,POSITIVE,0.0
5,923797463079191,http://www.facebook.com/279468148425,http://www.facebook.com/279468148425_923797463079191,06/03/2420 20:40,114.0,6.0,10.0,"A rainha do pop está com o Brasil no seu roteiro da “The Celebration Tour”! ✨

Até o momento, são poucas informações sobre o evento, mas nós, da Top Magazine, reunimos o que se sabe, até agora, sobre a vinda de Madonna para o país: 

➖ A cantora fará uma apresentação aberta ao público no Rio de Janeiro, na praia de Copacabana;

➖ Será um show único; 

➖ De acordo com o portal Madonna Online, o anúncio oficial deverá ser feito em breve, com o show sendo realizado em 4 de maio;

➖ A apresentação será patrocinada pelo Itaú, banco o qual a artista gravou uma campanha recentemente;

➖ Outro rumor é que ela se hospedará no Copacabana Palace, já que o hotel estaria com as datas entre o dia 01 e o dia 06 de maio com hospedagens bloqueadas; 

Será que ela vem mesmo? Estamos ansiosos para o anúncio oficial! 

(Fontes: POPline; Madonna Online)

#Madonna #MadonnaNoBrasil #Copacabana #Brasil #Itaú",facebook,POSITIVE,0.0
6,799538572200690,http://www.facebook.com/279854054779,http://www.facebook.com/279854054779_799538572200690,06/03/2420 07:05,102.0,14.0,17.0,"Show da diva do Pop, segundo página ""Madonna Online"", seria em 4 de maio. O staff já teria, inclusive, reservado quartos no Hotel Copacabana Palace. A cantora celebra 40 anos de carreira com o espetáculo “The Celebration Tour”",facebook,POSITIVE,0.0
7,910200991089547,http://www.facebook.com/219679725755,http://www.facebook.com/219679725755_910200991089547,06/03/2420 14:12,58.0,1.0,11.0,Já pensou em ir no show da Rainha do Pop em solo brasileiro? O perfil “Madonna Online” revelou que a cantora fará uma apresentação na Praia de Copacabana em maio deste ano. Confira mais informações no site da 102.3 (link nos comentários).,facebook,POSITIVE,0.912
8,432826206077353,http://www.facebook.com/413236892771015,http://www.facebook.com/413236892771015_432826206077353,06/03/2420 15:00,36.0,5.0,17.0,Madonna em Copacabana: rumores de show gratuito rendem memes; veja,facebook,POSITIVE,0.0
9,806832088151869,http://www.facebook.com/143813098922,http://www.facebook.com/143813098922_806832088151869,06/03/2420 14:40,39.0,4.0,12.0,Madonna de graça em Copacabana? Boato deixa fãs num misto de alegria e medo,facebook,POSITIVE,0.0
